programmeCourseId,studyYear,academicYear_programmeCourse,courseType,ConsistsOf,Includes
PC1,1,2013-2014,compulsory,1204,10001
PC2,1,2013-2014,compulsory,1082,10001
PC3,1,2013-2014,compulsory,1190,10001
PC4,1,2013-2014,compulsory,1009,10001
PC5,1,2013-2014,elective,1264,10001
PC6,1,2013-2014,elective,1161,10001
PC7,1,2013-2014,elective,1076,10001
PC8,1,2013-2014,elective,1055,10001
PC9,1,2013-2014,elective,1048,10001
PC10,1,2013-2014,elective,1007,10001
PC11,1,2014-2015,compulsory,1124,10001
PC12,1,2014-2015,compulsory,1019,10001
PC13,1,2014-2015,compulsory-elective,1193,10001
PC14,1,2014-2015,compulsory-elective,1108,10001
PC15,1,2014-2015,compulsory-elective,1063,10001
PC16,1,2014-2015,compulsory-elective,1050,10001
PC17,1,2014-2015,elective,1256,10001
PC18,1,2014-2015,elective,1240,10001
PC19,1,2014-2015,elective,1159,10001
PC20,1,2014-2015,elective,1107,10001
PC21,1,2014-2015,elective,1068,10001
PC22,1,2014-2015,elective,1048,10001
PC23,1,2015-2016,compulsory,1256,10001
PC24,1,2015-2016,compulsory,1251,10001
PC25,1,2015-2016,compulsory,1269,10001
PC26,1,2015-2016,compulsory,1200,10001
PC27,1,2015-2016,elective,1290,10001
PC28,1,2015-2016,elective,1197,10001
PC29,1,2015-2016,elective,1147,10001
PC30,1,2015-2016,elective,1123,10001
PC31,1,2015-2016,elective,1052,10001
PC32,1,2016-2017,compulsory,1186,10001
PC33,1,2016-2017,compulsory,1102,10001
PC34,1,2016-2017,compulsory-elective,1227,10001
PC35,1,2016-2017,compulsory-elective,1089,10001
PC36,1,2016-2017,compulsory-elective,1084,10001
PC37,1,2016-2017,compulsory-elective,1021,10001
PC38,1,2016-2017,elective,1252,10001
PC39,1,2016-2017,elective,1172,10001
PC40,1,2016-2017,elective,1158,10001
PC41,1,2016-2017,elective,1091,10001
PC42,1,2016-2017,elective,1045,10001
PC43,1,2017-2018,compulsory,1272,10001
PC44,1,2017-2018,compulsory,1248,10001
PC45,1,2017-2018,compulsory,1232,10001
PC46,1,2017-2018,compulsory,1006,10001
PC47,1,2017-2018,elective,1241,10001
PC48,1,2017-2018,elective,1215,10001
PC49,1,2017-2018,elective,1090,10001
PC50,1,2017-2018,elective,1085,10001
PC51,1,2017-2018,elective,1082,10001
PC52,1,2017-2018,elective,1033,10001
PC53,1,2018-2019,compulsory,1144,10001
PC54,1,2018-2019,compulsory-elective,1250,10001
PC55,1,2018-2019,compulsory-elective,1243,10001
PC56,1,2018-2019,compulsory-elective,1147,10001
PC57,1,2018-2019,compulsory-elective,1133,10001
PC58,1,2018-2019,elective,1239,10001
PC59,1,2018-2019,elective,1220,10001
PC60,1,2018-2019,elective,1178,10001
PC61,1,2018-2019,elective,1168,10001
PC62,1,2018-2019,elective,1078,10001
PC63,1,2018-2019,elective,1027,10001
PC64,1,2019-2020,compulsory,1157,10001
PC65,1,2019-2020,compulsory-elective,1244,10001
PC66,1,2019-2020,compulsory-elective,1183,10001
PC67,1,2019-2020,compulsory-elective,1108,10001
PC68,1,2019-2020,elective,1267,10001
